Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_per_Unit,Units_Sold,Total_Sales,Operating_Profit,Operating_Margin,Sales_Method
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50,1200,"$60,000.00","$30,000.00",50%,In-store
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50,1000,"$50,000.00","$15,000.00",30%,In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,40,1000,"$40,000.00","$14,000.00",35%,In-store
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,45,850,"$38,250.00","$13,387.50",35%,In-store
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,60,900,"$54,000.00","$16,200.00",30%,In-store
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,50,1000,"$50,000.00","$12,500.00",25%,In-store
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,50,1250,"$62,500.00","$31,250.00",50%,In-store
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,"$45,000.00","$13,500.00",30%,Outlet
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,40,950,"$38,000.00","$13,300.00",35%,Outlet
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,"$37,125.00","$12,993.75",35%,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,60,900,"$54,000.00","$16,200.00",30%,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,50,1000,"$50,000.00","$12,500.00",25%,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,50,1220,"$61,000.00","$30,500.00",50%,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,50,925,"$46,250.00","$13,875.00",30%,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,40,950,"$38,000.00","$13,300.00",35%,Outlet
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,45,800,"$36,000.00","$12,600.00",35%,Outlet
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,60,850,"$51,000.00","$15,300.00",30%,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,50,950,"$47,500.00","$11,875.00",25%,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,50,1200,"$60,000.00","$30,000.00",50%,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,"$45,000.00","$13,500.00",30%,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,40,900,"$36,000.00","$12,600.00",35%,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,"$37,125.00","$12,993.75",35%,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,60,825,"$49,500.00","$14,850.00",30%,Outlet
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,50,950,"$47,500.00","$11,875.00",25%,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,60,1220,"$73,200.00","$36,600.00",50%,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,55,925,"$50,875.00","$15,262.50",30%,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,50,900,"$45,000.00","$15,750.00",35%,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,50,850,"$42,500.00","$14,875.00",35%,Outlet
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,60,875,"$52,500.00","$15,750.00",30%,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,65,1000,"$65,000.00","$16,250.00",25%,Outlet
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,60,1250,"$75,000.00","$37,500.00",50%,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,"$55,000.00","$16,500.00",30%,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,50,925,"$46,250.00","$16,187.50",35%,Outlet
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,"$45,000.00","$15,750.00",35%,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,60,900,"$54,000.00","$16,200.00",30%,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,65,1050,"$68,250.00","$17,062.50",25%,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,60,1275,"$76,500.00","$38,250.00",50%,Outlet
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,"$56,375.00","$16,912.50",30%,Outlet
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,50,950,"$47,500.00","$16,625.00",35%,Outlet
Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,"$45,000.00","$15,750.00",35%,Outlet
Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,60,925,"$55,500.00","$16,650.00",30%,Outlet
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,65,1100,"$71,500.00","$17,875.00",25%,Outlet
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,60,1250,"$75,000.00","$37,500.00",50%,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,"$56,375.00","$16,912.50",30%,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,50,950,"$47,500.00","$16,625.00",35%,Outlet
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,50,925,"$46,250.00","$16,187.50",35%,Outlet
Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,60,900,"$54,000.00","$16,200.00",30%,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,65,1075,"$69,875.00","$17,468.75",25%,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,60,1200,"$72,000.00","$36,000.00",50%,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,"$55,000.00","$16,500.00",30%,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,50,925,"$46,250.00","$16,187.50",35%,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,"$45,000.00","$15,750.00",35%,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,60,900,"$54,000.00","$16,200.00",30%,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,65,1000,"$65,000.00","$16,250.00",25%,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,65,875,"$56,875.00","$17,062.50",30%,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,70,1000,"$70,000.00","$17,500.00",25%,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,65,1150,"$74,750.00","$37,375.00",50%,Outlet
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,55,975,"$53,625.00","$16,087.50",30%,Outlet
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,55,920,"$50,600.00","$17,710.00",35%,Outlet
Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,"$49,500.00","$17,325.00",35%,Outlet
Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,65,875,"$56,875.00","$17,062.50",30%,Outlet
